IF,IG,IH,IM,PROTES,CATHOL,SINGLE24,SINGLE49,MAGRIC,MIND,MCOMM,MTRANSP,MADMIN,TAGRIC,TIND,TCOMM,TTRANSP,TADMIN,INFMORT,WAGRIC,WIND,WCOMM,WTRANSP,WADMIN,WOLABFOR,GERMAN,FRENCH,ITALIAN,ROMANS,PROPTOT,GRADE1,GRADE5,USCHOOL,LOWALT,ALT500,ALT1000,DECLIM01,DECLIM05,DECLIM00,DECLIG10,DECLIG6,SEXRATIO,BORNCOM,BORNFOR,LABEL,key,Canton,District1,District2,
389,840,18,451,99810,160,70900,14900,702,202,30,34,30,664,240,33,27,32,148,195,361,316,37,297,563,99840,150,10,0,97800,7000,27000,3000,0,85000,15000,1876400,1922200,1922800,1902700,1921000,984,818,3,L1202,212,Berne,Frutigen,,
360,749,26,461,98710,1250,73800,12400,525,222,53,70,119,481,259,80,57,111,161,127,316,469,27,140,312,99440,270,160,0,97000,11000,17000,7000,0,78000,22000,1877100,1916800,1920200,1902600,1908200,1009,776,11,L1302,213,Berne,Interlaken,,
376,771,24,471,99610,190,72400,16200,639,284,36,17,22,611,292,50,16,26,151,179,237,440,161,347,543,99750,250,0,0,97400,14000,15000,8000,0,100000,0,1876800,1913900,1915500,1911800,1920000,1030,475,2,L1402,214,Berne,Konolfingen,,
300,774,16,375,7130,92430,86800,17600,466,404,47,37,40,402,476,56,29,34,219,185,404,409,104,169,100,98060,1700,220,20,93100,10000,23000,14000,85000,15000,0,1889100,1915600,1921000,1882000,1922300,940,703,37,L1502,215,Berne,Laufen,,
393,758,34,496,99260,590,72100,14100,686,255,23,10,23,663,258,34,10,26,181,165,202,469,156,294,733,99270,690,30,0,101900,12000,13000,8000,25000,75000,0,1879200,1911400,1918300,1904200,1913100,1031,588,4,L1602,216,Berne,Laupen,,
402,858,30,450,65190,33770,75700,13200,416,498,25,31,27,365,539,38,24,27,203,199,350,544,107,317,561,38090,61040,800,40,95500,12000,33000,7000,13000,83000,4000,1894300,1921700,1922300,1903100,1914900,991,511,35,L1702,217,Berne,Moutier,,
351,769,24,439,94460,5160,73300,6000,499,387,38,29,39,435,411,58,25,54,206,87,250,478,75,430,593,25730,72790,1100,0,95000,17000,16000,15000,53000,47000,0,1888700,1912500,1917300,1904700,1907300,959,545,32,L1802,218,Berne,Neuveville,,
452,777,36,561,96920,2930,59200,10800,475,398,28,72,24,445,419,43,60,29,181,164,254,486,58,340,474,93920,5820,250,0,94700,18000,11000,11000,98000,2000,0,1878700,1916200,1920000,1896800,1909100,1006,509,11,L1902,219,Berne,Nidau,,
300,728,22,394,98830,1150,83900,18400,632,183,28,43,110,559,258,40,34,100,124,162,475,475,50,185,704,99530,210,250,0,95500,13000,19000,5000,0,69000,31000,1877200,1920400,1907600,1903700,1910800,1020,799,6,L2002,220,Berne,Oberhasle,,
379,761,40,470,8580,90570,72500,16700,407,465,46,34,39,353,504,58,28,39,266,142,313,419,79,259,557,7090,92340,520,10,96600,9000,35000,7000,76000,24000,0,1893700,1918500,1927500,1906500,1909800,994,635,93,L2102,221,Berne,Porrentruy,,
377,721,28,504,99270,310,67600,5900,736,178,20,31,29,693,196,38,28,30,157,146,271,577,132,232,654,99270,730,0,0,100700,10000,25000,11000,0,0,100000,1877800,1920000,1920700,1912000,1917900,1045,776,5,L2202,222,Berne,Saanan,,
457,867,49,498,99830,150,64900,14400,740,203,29,8,20,737,194,39,6,21,162,246,212,449,115,289,667,99950,50,0,0,102500,7000,28000,4000,0,75000,25000,1877800,1926400,1929000,1919400,1933000,1015,767,1,L2302,223,Berne,Schwarznburg,,
403,808,43,471,99720,190,74500,22000,713,229,24,12,21,702,225,34,11,25,163,213,212,460,156,349,714,99730,240,30,0,100100,8000,23000,5000,0,100000,0,1879100,1919800,1920400,1911900,1922200,1019,593,2,L2402,224,Berne,Seftigen,,
413,810,29,491,99680,190,68500,15900,652,261,42,17,23,625,277,52,15,24,158,207,284,388,154,288,415,99800,160,30,0,100300,8000,23000,7000,0,100000,0,1882000,1921300,1918300,1914800,1925300,1036,601,2,L2502,225,Berne,Signau,,
330,768,20,414,99600,200,84600,17400,697,217,32,25,29,668,230,45,20,34,134,218,293,471,89,344,833,99610,290,0,0,99100,16000,15000,8000,0,100000,0,1876800,1917600,1912700,1901700,1910100,964,697,8,L2602,226,Berne,N.,Simmental,
351,746,31,447,99530,450,72600,14800,730,181,31,25,32,675,215,46,22,36,132,128,323,463,86,287,750,99670,290,40,0,95700,7000,20000,7000,0,53000,47000,1880300,1930000,1922700,1903300,1912400,992,812,4,L2702,227,Berne,O.,Simmental,
371,791,26,452,98600,1280,75300,17300,518,337,45,47,47,505,330,72,38,47,158,217,219,522,58,228,506,99060,510,310,0,95600,14000,20000,7000,0,89000,11000,1877700,1919700,1921400,1906300,1914200,997,579,13,L2802,228,Berne,Thun,,
387,776,29,479,99600,200,70500,16900,608,330,26,13,21,571,356,35,12,25,162,178,284,420,115,357,545,99870,120,10,0,98500,8000,25000,6000,0,100000,0,1878400,1916800,1917900,1903100,1919800,1028,613,1,L2902,229,Berne,Trachselwald,,
395,764,42,488,98920,870,67500,16500,552,350,42,27,28,504,385,55,22,30,168,192,329,436,87,303,759,99520,450,20,0,97000,16000,13000,11000,89000,11000,0,1884400,1918700,1917300,1895300,1914700,957,609,5,L3002,230,Berne,Wangen,,
349,860,26,387,3910,96070,81700,25100,770,151,32,18,26,716,196,39,16,26,164,150,393,353,115,212,571,99780,120,100,0,101300,9000,38000,10000,0,100000,0,1880200,1923600,1923300,1935000,1946000,1017,724,4,L103,301,Lucerne,Entelbuch,,
274,670,17,393,1370,98560,87300,19700,686,233,34,2,26,618,275,47,4,33,156,97,311,410,607,361,880,99810,60,120,10,100100,14000,15000,20000,58000,42000,0,1874100,1897300,1918600,1878500,1925900,1038,482,7,L203,302,Lucerne,Hochdorf,,
244,574,20,404,8550,90910,80700,21500,335,388,99,116,54,281,416,141,92,54,167,80,281,460,25,232,633,97880,840,1030,30,97000,25000,18000,30000,80000,20000,0,1876600,1913800,1919600,1878200,1885100,976,400,47,L303,303,Lucerne,Luzern,,
269,679,20,378,2190,97710,83600,24000,695,222,32,16,32,627,273,47,14,33,164,87,328,433,99,203,590,99900,30,40,10,101400,13000,24000,20000,0,100000,0,1877200,1913400,1918400,1902000,1940000,1026,516,4,L403,304,Lucerne,Sursee,,
322,775,30,392,8410,91540,82000,23300,739,192,28,12,28,686,227,41,12,29,173,130,318,441,200,232,854,99810,130,40,20,98600,10000,33000,16000,26000,74000,0,1877200,1917300,1924200,1911000,1940000,1032,544,5,L503,305,Lucerne,Willisau,,
353,928,14,371,2120,97830,84000,28300,640,149,51,118,29,598,186,73,89,33,190,208,407,483,13,363,489,98710,120,1070,90,98300,7000,35000,7000,43000,46000,11000,1886000,1922500,1925400,1907900,1933000,939,731,21,L4,401,Uri,Uri,,
286,690,10,406,750,99250,81900,17800,420,382,82,45,47,278,514,114,29,42,179,33,525,541,19,282,329,98990,460,390,160,101200,17000,16000,24000,0,100000,0,1874000,1910600,1926900,1876300,1916900,948,785,44,L105,501,Schwyz,Einsiedeln,,
328,786,22,401,2110,97830,75300,22800,438,339,96,56,32,320,475,105,37,37,182,92,527,392,0,429,0,98650,760,430,110,101000,5000,34000,7000,100000,0,0,1874900,1917700,1929500,1884400,1940000,893,783,34,L205,502,Schwyz,Gersau,,
292,659,13,432,5200,94780,81200,16200,597,278,48,51,18,430,445,62,37,17,231,75,583,483,69,293,450,99130,20,660,190,100000,9000,23000,7000,42000,58000,0,1877700,1905300,1919400,1918700,1917500,928,635,24,L305,503,Schwyz,Hoefe,,
