IF,IG,IH,IM,PROTES,CATHOL,SINGLE24,SINGLE49,MAGRIC,MIND,MCOMM,MTRANSP,MADMIN,TAGRIC,TIND,TCOMM,TTRANSP,TADMIN,INFMORT,WAGRIC,WIND,WCOMM,WTRANSP,WADMIN,WOLABFOR,GERMAN,FRENCH,ITALIAN,ROMANS,PROPTOT,GRADE1,GRADE5,USCHOOL,LOWALT,ALT500,ALT1000,DECLIM01,DECLIM05,DECLIM00,DECLIG10,DECLIG6,SEXRATIO,BORNCOM,BORNFOR,LABEL,key,Canton,District1,District2,
321,650,30,470,29050,70810,79800,15300,275,518,94,53,36,204,606,98,37,35,263,61,405,332,9,288,128,97640,130,1950,100,99900,15000,8000,18000,7000,93000,0,1875500,1905900,1930000,1906600,1906100,964,346,111,L917,1709,St,Gall,Tablat,
329,748,6,436,15130,84860,84900,18800,424,515,21,19,18,312,630,25,14,16,197,65,439,439,66,236,353,99850,30,100,10,98500,12000,15000,9000,0,100000,0,1875500,1906700,1925700,1930000,1940000,959,656,17,L1017,1710,St,Gall,"Toggnbrg,Alt",
287,566,13,495,73840,26080,73500,11800,349,530,53,25,28,239,648,59,17,25,194,43,464,416,42,268,108,99420,180,260,110,96900,19000,11000,19000,0,100000,0,1874700,1910300,1924500,1919800,1860000,946,486,32,L1117,1711,St,Gall,"Toggnbrg,Neu",
301,591,10,501,75950,24010,73500,10800,435,475,29,26,25,304,612,36,19,21,170,64,492,479,91,208,116,99620,40,300,30,94500,18000,12000,16000,0,90000,10000,1875000,1905000,1921000,1886800,1885700,945,641,18,L1217,1712,St,Gall,"Toggnbrg,Obr",
289,561,10,507,57910,41910,79400,12400,265,655,30,25,20,191,727,40,18,19,205,71,396,491,47,324,370,99590,90,220,40,98000,25000,10000,16000,0,100000,0,1875700,1909400,1924300,1886400,1877800,970,450,32,L1317,1713,St,Gall,"Toggnbrg,Unt",
328,678,13,474,85230,14640,69400,23300,533,377,23,41,22,444,470,33,30,20,149,139,425,490,22,221,276,99320,110,310,240,97800,9000,16000,12000,82000,18000,0,1893700,1922800,1913600,1904200,1905800,995,812,18,L1417,1714,St,Gall,Werdenberg,
299,734,4,404,12670,87220,85100,18800,414,470,54,28,31,331,540,67,22,35,206,110,382,420,84,373,655,99560,70,290,60,98800,21000,9000,21000,10000,90000,0,1882100,1912100,1919300,1914500,1918200,973,485,50,L1517,1715,St,Gall,Wilter,
297,754,16,381,20450,79530,88600,29000,668,166,47,68,39,685,164,53,48,31,161,368,344,435,76,191,571,14700,20,1980,83200,97700,9000,35000,10000,0,5000,95000,1878000,1921000,1922900,1883900,1935000,911,749,26,L118,1801,Grisons,Albula,,
280,781,16,346,20870,79080,89500,24100,649,215,55,31,44,672,203,51,21,41,163,401,345,337,83,347,600,1630,150,96570,1490,111800,16000,19000,13000,0,28000,72000,1904600,1940000,1930100,1917800,1940000,822,840,103,L218,1802,Grisons,Bernina,,
275,751,17,351,30330,69670,88100,27200,746,146,38,23,37,746,147,38,18,33,173,356,360,370,159,283,614,25830,160,460,73540,105100,10000,15000,12000,0,37000,63000,1890600,1923300,1920400,1925200,1940000,910,786,16,L318,1803,Grisons,Glenner,,
255,642,21,377,72850,27120,83900,23200,637,217,41,57,32,617,241,48,43,32,157,248,342,370,33,267,436,58020,50,1170,40770,95000,15000,23000,18000,0,69000,31000,1882700,1920200,1916400,1891400,1911400,991,660,24,L418,1804,Grisons,Heizenberg,,
249,617,12,391,93370,6520,84200,9000,722,110,32,56,42,713,117,41,46,34,144,283,333,451,123,119,452,50040,0,1590,48370,103500,11000,18000,12000,0,32000,68000,1897900,1935000,1918600,1901800,1894100,908,739,14,L518,1805,Grisons,Hinterrheim,,
322,731,15,430,48020,51980,85000,20400,593,272,54,29,32,625,236,64,21,27,179,382,249,449,102,226,541,29990,80,420,69520,100900,11000,25000,7000,0,85000,15000,1909900,1923400,1921400,1883000,1923100,856,805,16,L618,1806,Grisons,Imboden,,
310,655,14,462,79860,20120,77700,17100,640,193,52,46,41,674,159,63,34,33,170,366,190,441,87,157,529,14720,60,2680,82530,102700,25000,20000,25000,0,0,100000,1885700,1924200,1922900,1906400,1905600,864,741,78,L718,1807,Grisons,Inn,,
256,623,14,398,86170,13480,83200,22400,490,208,81,171,43,469,205,138,133,45,140,199,223,547,12,265,533,89530,420,4780,3780,84800,18000,16000,20000,0,36000,64000,1908600,1930000,1920000,1893700,1890600,1077,595,131,L818,1808,Grisons,"Landquart,Ob",,
283,609,18,447,73130,26840,78300,17000,576,186,27,170,26,590,194,43,131,25,159,258,273,527,12,188,326,93650,220,4770,1260,88700,15000,29000,14000,0,97000,3000,1902700,1926700,1922300,1916100,1909700,1101,688,66,L918,1809,Grisons,"Landquart,Un",,
260,694,10,366,81940,17840,84400,27800,380,295,165,92,59,396,273,192,72,52,153,302,212,373,69,172,575,22190,290,33960,43200,82300,35000,11000,38000,0,9000,91000,1901500,1935000,1924700,1912400,1897600,928,481,161,L1018,1810,Grisons,Maloja,,
223,663,23,313,410,99520,87100,31900,623,231,58,44,40,758,141,41,24,31,188,590,183,302,82,365,533,1180,130,98030,660,122200,21000,18000,12000,47000,42000,11000,1884300,1925900,1927900,1915400,1922800,733,780,94,L1118,1811,Grisons,Moesa,,
319,646,37,463,48860,51140,71700,15200,736,154,23,28,53,720,149,40,21,59,120,228,221,565,0,324,571,19930,70,1810,78190,100500,13000,18000,16000,0,0,100000,1874700,1930000,1930000,1897000,1895500,893,677,137,L1218,1812,Grisons,Muensterthal,,
234,588,23,374,73750,26150,86800,21300,329,337,108,121,79,308,350,137,93,76,169,209,289,418,38,232,485,86850,330,2190,10510,99200,28000,15000,29000,0,76000,24000,1881600,1919500,1919500,1904500,1881800,951,497,78,L1318,1813,Grisons,Plessur,,
314,859,16,354,170,99830,88200,30100,720,179,33,20,39,737,169,35,15,31,144,345,288,361,98,161,571,1500,90,330,98070,98700,5000,16000,13000,0,17000,83000,1877100,1927100,1925900,1937000,1946000,988,850,13,L1418,1814,Grisons,Vorderrhein,,
307,739,21,398,91980,7570,82300,18600,338,478,59,53,66,293,527,74,38,58,153,198,370,445,33,213,530,99320,460,120,30,95700,19000,13000,25000,100000,0,0,1875700,1911100,1914800,1893800,1907800,900,622,31,L119,1901,Argovie,Aarau,,
301,722,14,405,20470,78360,83700,16600,482,398,47,32,37,414,460,65,23,34,205,196,403,497,40,252,432,99670,160,90,20,96800,10000,17000,12000,94000,6000,0,1874900,1901900,1921000,1884500,1912300,930,622,30,L219,1902,Argovie,Baden,,
255,685,11,363,4770,94670,90600,20800,571,337,37,22,29,431,477,44,15,26,182,144,543,457,72,274,551,99780,100,90,10,97400,14000,18000,14000,89000,11000,0,1874300,1897500,1919600,1882800,1916200,875,712,13,L319,1903,Argovie,Bremgarten,,
280,637,22,419,94680,5010,87700,16000,605,290,26,37,41,583,299,41,27,45,163,245,292,542,33,332,750,99420,440,50,30,95500,12000,9000,11000,97000,3000,0,1876200,1911400,1915800,1885100,1907800,971,682,16,L419,1904,Argovie,Brugg,,
309,738,16,406,97610,2020,80800,24400,473,448,26,18,29,390,537,30,13,26,158,183,439,407,48,231,229,99850,130,20,10,99600,13000,14000,13000,26000,74000,0,1875300,1905300,1913900,1883900,1909800,915,722,6,L519,1905,Argovie,Kulm,,
261,641,15,393,2970,96820,85900,13200,644,284,24,20,27,559,371,31,15,23,183,218,480,458,85,224,500,99830,90,40,10,97000,11000,15000,11000,100000,0,0,1874700,1900900,1919800,1879100,1923700,944,816,31,L619,1906,Argovie,Laufenburg,,
287,704,12,397,96220,3160,85300,18900,455,434,41,33,33,392,490,53,23,33,166,209,395,478,48,300,661,99730,200,50,10,94500,20000,10000,17000,90000,10000,0,1876300,1905700,1911500,1903800,1909700,886,681,13,L719,1907,Argovie,Lenzburg,,
297,741,10,392,2390,97540,87100,23400,692,224,26,22,34,589,320,36,17,34,183,173,508,495,80,302,500,99870,50,60,10,101300,10000,19000,15000,83000,17000,0,1874800,1904300,1923500,1882300,1940000,956,643,5,L819,1908,Argovie,Muri,,
311,658,20,455,10780,88470,84800,13700,606,296,29,29,32,524,371,44,21,30,212,185,438,545,28,252,326,99560,230,150,50,99800,13000,9000,9000,100000,0,0,1877300,1904100,1917800,1902500,1907100,964,718,76,L919,1909,Argovie,Rheinfelden,,
305,766,17,384,96800,2880,82600,19300,408,469,42,46,33,324,557,52,31,30,160,157,436,462,29,259,678,99370,470,110,10,98400,17000,13000,13000,88000,12000,0,1876700,1910300,1915700,1903600,1913900,884,607,13,L1019,1910,Argovie,Zofingen,,
317,695,17,443,16090,80080,86800,15700,618,269,44,29,36,572,313,53,22,35,181,201,364,379,18,233,533,99760,70,170,0,99700,17000,13000,18000,98000,2000,0,1875100,1911800,1921000,1877700,1919600,968,753,37,L1119,1911,Argovie,Zurzach,,
308,613,29,478,73950,25890,81300,11200,343,446,55,122,28,303,487,80,94,29,187,141,305,475,21,265,432,99360,210,280,70,95200,29000,8000,25000,100000,0,0,1874000,1900400,1923400,1879100,1892800,986,498,102,L120,2001,Thurgove,Arbon,,
287,650,22,422,76510,23150,84300,12700,387,506,44,32,27,320,568,57,24,26,193,140,367,450,68,272,387,99280,240,350,90,96500,29000,5000,20000,49000,51000,0,1877100,1911200,1919100,1880600,1900300,955,420,66,L220,2002,Thurgove,Bischofszell,,
261,588,22,422,73070,25810,84400,22000,576,312,39,9,61,542,333,50,9,59,160,189,285,397,231,218,700,99650,290,0,30,101300,20000,6000,23000,100000,0,0,1873900,1895700,1920300,1877200,1886900,950,563,83,L320,2003,Thurgove,Diessenhofen,,
263,562,15,455,74200,25540,83300,13300,438,438,35,38,42,396,476,53,28,37,162,205,337,516,33,198,266,99400,120,320,110,96400,32000,4000,26000,75000,25000,0,1875200,1915500,1921800,1879500,1882800,959,503,56,L420,2004,Thurgove,Frauenfeld,,
282,592,30,449,74940,24680,81600,11800,444,422,54,34,40,402,449,69,27,44,197,175,297,414,61,316,482,99310,250,160,0,97700,22000,5000,23000,78000,22000,0,1875300,1908100,1924000,1879000,1887000,969,480,180,L520,2005,Thurgove,Kreuzlingen,,
289,680,10,416,46270,53720,81200,16700,488,447,16,19,27,392,542,25,15,24,172,135,427,541,89,229,409,99350,150,440,50,94700,19000,8000,15000,13000,87000,0,1874500,1908200,1922100,1880300,1918800,985,531,31,L620,2006,Thurgove,Muenchwilen,,
330,664,24,478,65700,34250,80200,12800,557,362,23,20,30,528,381,35,17,28,184,221,298,514,123,193,464,99670,170,100,50,98800,24000,5000,21000,70000,30000,0,1876400,1904200,1913800,1884300,1902600,982,606,63,L720,2007,Thurgove,Steckborn,,
289,594,24,466,83610,16190,80400,9700,456,477,28,17,17,410,519,36,13,17,170,196,336,429,34,271,526,99600,130,200,40,96000,23000,5000,19000,64000,36000,0,1874600,1906900,1920300,1884200,1886700,982,500,69,L820,2008,Thurgove,Weinfelden,,
339,713,25,456,1880,97770,72900,19800,515,190,66,174,41,578,184,72,116,37,195,412,317,394,11,273,218,3500,170,96170,100,104200,10000,39000,9000,88000,12000,0,1910900,1940000,1929500,1913600,1913200,927,701,110,L121,2101,Ticino,Bellinzona,,
248,721,7,338,60,99860,78700,38400,721,138,64,18,46,832,75,46,10,30,169,613,175,381,156,317,250,110,100,99690,100,180300,18000,16000,31000,34000,63000,3000,1906600,1927000,1922900,1899500,1917700,627,876,47,L221,2102,Ticino,Bienio,,
294,721,8,401,760,99040,77100,33500,530,155,44,226,32,660,117,47,139,28,192,517,204,435,17,319,156,1690,210,97980,90,95900,17000,12000,25000,16000,31000,53000,1898300,1930000,1930000,1913900,1917500,880,737,149,L321,2103,Ticino,Leventina,,
251,710,15,340,360,99450,84800,31800,453,369,68,47,47,550,330,50,24,33,212,611,471,351,81,328,430,580,110,99240,30,118400,16000,24000,10000,72000,25000,3000,1901000,1940000,1940000,1913500,1910400,701,745,83,L421,2104,Ticino,Locarno,,
292,703,14,404,750,98720,80200,20400,265,550,74,47,53,458,400,65,27,41,216,686,256,377,65,288,402,1050,290,98480,60,113900,11000,29000,13000,67000,30000,3000,1911000,1935000,1935000,1904100,1907800,792,690,116,L521,2105,Ticino,Lugano,,
347,718,4,480,590,99230,73300,13500,320,468,59,90,54,373,452,58,60,47,225,446,333,343,31,264,451,780,100,98960,20,111100,8000,37000,11000,82000,18000,0,1907000,1935000,1935000,1904000,1906900,892,709,153,L621,2106,Ticino,Mendrisio,,
294,698,28,397,3500,95340,74500,31400,551,252,40,108,29,680,172,38,69,26,211,530,150,398,95,356,200,2670,420,96800,80,107400,8000,27000,10000,100000,0,0,1895400,1928500,1930000,1908000,1917000,812,805,85,L721,2107,Ticino,Riviera,,
200,653,10,295,20,99770,87100,46500,535,345,28,30,50,778,158,14,15,28,178,719,109,208,180,261,304,4960,50,94980,0,130600,19000,10000,19000,67000,19000,14000,1898900,1932000,1929100,1916000,1935000,600,894,39,L821,2108,Ticino,Vallemaggia,,
352,641,31,526,91320,8520,64500,10800,666,217,40,39,34,620,233,61,35,41,165,122,238,462,107,316,712,8690,89630,1430,0,94900,21000,14000,12000,80000,1000,19000,1889600,1926000,1922600,1910800,1903000,1007,642,37,L122,2201,Vaud,Aigle,,
384,669,25,559,97480,2270,68800,10700,739,177,31,18,33,675,203,45,19,43,191,45,237,413,180,338,864,5170,94540,250,10,97200,14000,13000,7000,4000,96000,0,1881300,1914900,1919000,1879400,1906800,1079,605,26,L222,2202,Vaud,Aubonne,,
318,689,33,435,92740,4430,85800,13500,670,219,51,22,33,607,237,71,20,52,227,78,227,394,98,467,720,22110,76550,640,0,92600,19000,12000,12000,66000,34000,0,1890000,1914200,1918300,1907300,1907200,969,532,43,L322,2203,Vaud,Avenches,,
331,617,21,520,96860,2820,72800,11800,753,174,25,20,26,693,198,37,22,39,187,53,232,420,220,424,774,4810,94350,740,0,95400,22000,10000,5000,18000,82000,0,1884700,1918400,1920100,1903400,1892300,1096,558,33,L422,2204,Vaud,Cossonay,,
372,683,37,519,75610,24200,72500,12700,774,146,18,29,30,726,169,32,27,38,212,73,248,512,49,313,710,3300,95730,900,0,95100,18000,10000,2000,0,100000,0,1884100,1919700,1926500,1914400,1912400,1141,608,24,L522,2205,Vaud,Echallens,,
387,717,25,523,96550,3300,63200,11500,421,492,30,24,30,340,552,38,20,38,200,73,334,410,133,412,781,5970,93170,770,10,94900,17000,12000,8000,30000,20000,50000,1878700,1911600,1922000,1897400,1903000,1011,645,24,L622,2206,Vaud,Grandson,,
225,557,34,365,87050,12110,83400,16800,242,395,139,111,99,194,417,161,85,110,202,85,306,366,49,342,688,15000,80150,2250,50,96200,26000,10000,28000,11000,89000,0,1881900,1913600,1920400,1889600,1874400,872,405,110,L722,2207,Vaud,Lausanne,,
273,543,6,497,97630,2150,72700,11400,195,648,54,57,30,152,690,59,47,35,168,11,279,292,82,341,243,2440,97210,240,0,99100,31000,13000,20000,0,0,100000,1884900,1921400,1920000,1880400,1879000,1061,795,21,L822,2208,Vaud,La,Vallee,
326,651,33,474,97010,2840,74900,12900,768,150,21,30,28,730,163,34,27,38,200,145,251,481,112,401,667,4530,94280,930,30,95800,19000,18000,9000,56000,44000,0,1889000,1915500,1920900,1903400,1899200,967,571,18,L922,2209,Vaud,Lavaux,,
320,655,21,471,94320,5230,75200,11100,659,208,44,46,37,598,227,62,43,53,180,66,223,398,93,405,759,7270,91570,710,40,96100,22000,8000,10000,78000,22000,0,1877800,1915500,1921000,1908900,1902000,1001,469,48,L1022,2210,Vaud,Morges,,
354,650,47,509,94940,4520,67700,14400,606,304,30,25,29,551,335,44,22,37,224,89,250,433,37,337,607,6920,91750,1150,10,97200,14000,12000,3000,0,100000,0,1881400,1915700,1926200,1887800,1905100,1109,510,25,L1122,2211,Vaud,Moudon,,
292,566,19,499,84450,15140,78100,7000,591,257,57,44,47,509,298,83,40,56,167,48,290,435,107,307,714,7730,90530,1310,10,97800,22000,12000,12000,69000,28000,3000,1888900,1921800,1919400,1902200,1860000,1047,431,122,L1222,2212,Vaud,Nyone,,
336,574,32,560,95560,4200,68200,9800,596,279,32,59,32,541,303,46,55,43,153,63,216,416,100,364,767,4980,93780,1120,0,96200,20000,11000,6000,19000,81000,0,1877100,1923700,1924400,1909500,1860000,1066,633,38,L1322,2213,Vaud,Orbe,,
392,725,44,511,97480,2400,67100,7300,749,180,21,21,27,712,197,32,20,33,210,103,225,430,120,293,750,3330,96320,350,0,97200,12000,13000,1000,0,100000,0,1883600,1915500,1921100,1904700,1906300,1077,578,8,L1422,2214,Vaud,Oron,,
390,742,55,487,94480,5230,73600,15800,642,240,33,43,32,581,282,43,41,38,238,97,302,375,134,300,508,9420,89730,800,20,95400,14000,10000,8000,70000,30000,0,1884400,1918800,1925100,1908900,1910500,1051,626,18,L1522,2215,Vaud,Payerne,,
395,720,36,525,97330,2560,77900,18700,692,185,26,43,48,635,216,47,39,50,180,117,303,551,108,229,650,9800,89850,90,0,97100,6000,30000,3000,0,75000,25000,1885900,1916400,1916900,1910800,1908400,1020,747,10,L1622,2216,Vaud,Paysd'enhaut,,
307,605,17,494,91930,7720,72100,10000,677,196,44,44,38,608,226,59,42,54,163,77,280,390,144,419,826,8670,90170,830,20,93400,16000,11000,10000,83000,17000,0,1876200,1906100,1911900,1904400,1894500,1024,441,63,L1722,2217,Vaud,Rolle,,
231,583,25,370,80830,18460,81700,18600,337,370,145,70,60,268,401,181,52,69,209,124,357,439,57,398,552,18910,75390,3390,40,96100,25000,11000,19000,86000,14000,0,1890000,1917200,1920900,1902400,1860000,864,371,120,L1822,2218,Vaud,Vevey,,
342,654,42,490,93480,6100,72300,11600,557,256,48,96,33,495,296,62,83,45,225,71,285,370,41,395,562,9330,89560,1010,20,97200,15000,10000,8000,56000,44000,0,1892600,1917500,1922500,1902600,1903300,1016,499,36,L1922,2219,Vaud,Yverdon,,
340,925,25,350,770,99230,88600,22500,708,145,52,50,37,719,127,62,38,43,184,269,159,382,45,370,348,96300,1850,1780,50,97300,9000,44000,5000,0,77000,23000,1885600,1927100,1928800,1922300,1940000,997,747,21,L123,2301,Valais,Brig,,
377,755,32,477,290,99710,74100,15800,861,105,10,7,17,859,104,11,6,19,151,197,191,263,48,294,667,380,99060,550,0,96400,3000,33000,2000,22000,51000,27000,1902600,1932000,1925900,1920700,1929000,1081,926,9,L223,2302,Valais,Conthey,,
290,693,21,400,80,99680,82100,21300,853,105,12,6,23,849,105,13,6,26,198,149,156,255,87,252,333,30,99710,260,0,95600,7000,29000,6000,0,84000,16000,1894400,1932000,1930000,1886000,1923600,1020,949,5,L323,2303,Valais,Entremont,,
342,958,16,346,20,99980,94700,25600,848,92,19,15,25,850,84,24,13,27,212,249,175,409,125,300,1000,99360,120,520,0,97200,7000,26000,2000,0,0,100000,1904100,1935000,1935000,1935000,1946000,962,801,5,L423,2304,Valais,Goms,,
302,773,12,382,0,100000,81700,32300,882,82,6,7,22,897,73,6,5,19,183,327,228,316,0,207,0,60,99800,140,0,95100,5000,43000,2000,0,26000,74000,1894800,1935000,1935000,1935000,1940000,967,943,5,L523,2305,Valais,Herens,,
417,915,26,440,450,99520,79000,23200,816,101,31,13,39,823,91,34,12,37,183,228,134,291,167,181,1000,97810,1540,650,0,91700,5000,43000,2000,0,48000,52000,1881800,1930000,1935000,1907900,1940000,996,805,12,L623,2306,Valais,Leuk,,
350,705,40,466,900,98960,71700,17200,810,119,29,18,24,782,131,39,16,31,194,163,268,402,54,377,1000,720,98270,1010,0,95300,12000,29000,6000,59000,33000,8000,1896900,1928500,1927400,1914900,1917000,1033,814,21,L723,2307,Valais,Martigwy,,
313,794,24,375,1770,98220,81900,21500,671,226,26,45,30,649,233,44,37,34,202,201,250,543,45,322,667,2700,95320,1970,0,94400,7000,35000,3000,70000,24000,6000,1901500,1929400,1929700,1901200,1917900,1003,796,47,L823,2308,Valais,Monthey,,
339,906,18,362,70,99930,83300,22300,885,65,17,10,23,886,65,16,9,24,172,251,253,220,136,288,0,99640,250,100,0,95700,8000,40000,4000,0,31000,69000,1911300,1935000,1935000,1935000,1946000,958,838,2,L923,2309,Valais,Raron,,
304,650,19,452,860,99060,75000,16800,784,102,28,41,44,759,115,41,35,47,178,182,295,454,55,264,889,1170,98370,430,0,98200,9000,23000,9000,55000,37000,8000,1899500,1925900,1922800,1912600,1916300,1052,806,20,L1023,2310,Valais,St,Maurice,
398,922,19,420,520,99460,78600,24200,843,102,20,13,22,846,99,19,10,25,163,231,201,210,68,314,1000,10270,88850,790,0,92000,3000,37000,3000,0,51000,49000,1882700,1932000,1930000,1918000,1929500,1018,823,9,L1123,2311,Valais,Sierre,,
280,793,22,335,3150,96830,86900,23600,654,192,43,29,80,631,204,54,24,83,181,197,268,386,44,253,733,23130,74980,1800,0,95000,13000,25000,13000,0,93000,7000,1902100,1929600,1928000,1919700,1927200,992,651,46,L1223,2312,Valais,Sion,,
374,960,17,379,170,99810,83300,22700,819,97,31,28,24,824,93,33,22,27,164,264,225,300,45,341,500,99160,370,460,10,94600,4000,35000,2000,0,25000,75000,1878500,1932000,1930000,1913000,1940000,1007,848,6,L1323,2313,Valais,Visp,,
315,704,19,433,93950,5620,77700,17800,469,342,52,69,48,384,388,64,63,65,203,57,321,375,149,431,547,17100,81140,1360,20,93700,26000,11000,12000,67000,33000,0,1884800,1915300,1919200,1900100,1902000,971,432,50,L124,2401,Neuchatl,Boudry,,
315,657,39,446,83500,13790,74800,14700,101,708,80,69,34,77,724,88,49,38,205,91,318,371,27,369,747,25720,72500,1690,20,95100,29000,9000,11000,0,88000,12000,1885500,1918500,1923200,1891400,1893700,905,447,83,L224,2402,Neuchatl,La,Chauxdfnd,
336,727,19,447,88370,11220,76200,12700,221,640,54,34,38,167,673,68,25,42,189,60,326,442,51,353,620,13800,85430,600,0,93900,22000,14000,13000,0,71000,29000,1879000,1919800,1927400,1894900,1903000,920,540,61,L324,2403,Neuchatl,Le,Locle,
242,644,21,356,82110,16920,84700,20300,228,439,132,104,78,176,462,146,79,98,230,65,312,344,48,421,639,28180,69600,1420,30,95600,35000,9000,32000,93000,7000,0,1884700,1908700,1925200,1895800,1899000,840,387,84,L424,2404,Neuchatl,Neuchatel,,
381,776,24,474,94610,4970,75900,15000,461,427,37,29,38,376,480,49,27,47,200,92,344,440,226,400,714,23530,75350,1110,0,96200,15000,17000,7000,0,100000,0,1876700,1902300,1911500,1896200,1905100,998,440,29,L524,2405,Neuchatl,Val,de,Ruz
334,676,21,477,90920,8650,73500,13800,243,606,51,53,32,187,636,60,43,42,195,64,312,395,116,444,635,11400,86630,1810,20,95800,25000,12000,7000,0,93000,7000,1879800,1919400,1924100,1891300,1902000,963,523,57,L624,2406,Neuchatl,ValdeTravers,,
153,350,21,401,54930,42340,80500,21000,17,517,246,93,98,12,531,245,62,94,180,43,360,341,17,315,669,15610,80080,2790,120,97700,37000,6000,53000,100000,0,0,1881500,1916300,1919000,1840000,1840000,815,337,309,L125,2501,Geneve,V.,De,Geneve
216,447,15,465,48360,50430,76300,12900,534,253,79,63,58,464,295,90,57,65,182,60,300,289,88,274,636,7850,88560,2240,60,92400,16000,14000,29000,100000,0,0,1879400,1910000,1919000,1840000,1840000,1026,274,312,L225,2502,Geneve,Rive,Droite,
218,428,57,434,40050,58330,77600,14500,345,356,129,64,83,277,399,148,49,89,193,82,342,356,33,316,568,7840,88760,2070,70,96600,22000,13000,29000,100000,0,0,1882800,1912000,1919000,1840000,1840000,910,277,324,L325,2503,Geneve,Rive,Gauche,
