"","clean.city.1860","County.1860","clean.city.1910","County.1910","lon","lat","State.1910","City.1910","Pop.1910","State.1860","City.1860","Pop.1860","alternate.city.1910","alternate.city.1860","inside_1910","inside_1860","match.ID","Deutsch.1910","Franzosisch.1910","Italienisch.1910","Romanisch.1910","Mannlich.1910","Weiblich.1910","Auslander.1910","Protestantisch.1910","Katholisch.1910","Deutsch.1860","Franzosisch.1860","Italienisch.1860","Romanisch.1860","Mannlich.1860","Weiblich.1860","Auslander.1860","Protestantische.1860","Katholisch.1860","PctGerman","rough","elev","Dist","Growth","PctCath"
"527","Villard sur Yens","Morges-Bezirk","Villars-sous-Yens","10. Morges (Morsee)",6.4287151,46.5101868,"Vaud","185. Villars-sous-Yens",304,"Vaud","32. Villard sur Yens",312,"FALSE","FALSE",TRUE,TRUE,FALSE,15,289,2,0,156,150,18,296,4,0,75,0,"0",167,145,4,306,6,0,104,486,-29.2050372197528,-8,0.0192307692307692
"528","Villardgiroud","Glane-Bezirk","Villargiroud","2. La Gläne",6.999996,46.700005,"Freiburg","96. Villargiroud",221,"Freiburg","48. Villardgiroud",151,"FALSE","FALSE",TRUE,TRUE,FALSE,8,214,0,0,108,114,0,7,215,0,32,0,"0",75,76,0,2,149,0,170,792,6.14474819424188,70,0.986754966887417
"529","Villardsiviriaux","Glane-Bezirk","Villarsiviriaux","2. La Gläne",7.016666,46.700005,"Freiburg","99. Villarsiviriaux",231,"Freiburg","49. Villardsiviriaux",177,"FALSE","FALSE",TRUE,TRUE,FALSE,0,234,0,0,130,104,0,0,234,0,36,0,"0",89,88,2,0,177,0,143,794,7.20390167213989,54,1
"530","Villardvolard","Greyerz-Bezirk","Villarvolard","3. La Gruyere (Greierz)",7.1071065,46.6459991,"Freiburg","141. Villarvolard",247,"Freiburg","39. Villardvolard",268,"FALSE","FALSE",TRUE,TRUE,FALSE,2,248,4,0,121,133,4,0,254,0,68,0,"0",127,141,4,1,267,0,115,724,12.899147291097,-21,0.996268656716418
"531","Villariaz","Glane-Bezirk","Villariaz","2. La Gläne",6.933336,46.66667,"Freiburg","97. Villariaz",240,"Freiburg","50. Villariaz",229,"FALSE","FALSE",TRUE,TRUE,FALSE,2,240,0,0,128,114,2,0,242,0,45,0,"0",121,108,0,0,229,0,64,799,4.55233024211724,11,1
"532","Villarimboud","Glane-Bezirk","Villarimboud","2. La Gläne",6.9624772,46.7394735,"Freiburg","98. Villarimboud",384,"Freiburg","51. Villarimboud",322,"FALSE","FALSE",TRUE,TRUE,FALSE,8,374,0,0,194,188,4,0,382,0,66,0,"0",168,154,0,0,322,0,83,754,1.71193597341163,62,1
"533","Villarlod","Sanne-Bezirk","Villarlod","4. La Sarine ( Saane)",7.022228,46.702778,"Freiburg","200. Villarlod",220,"Freiburg","56. Villarlod",170,"FALSE","FALSE",TRUE,TRUE,FALSE,3,209,3,0,109,106,3,1,214,1,38,0,"0",84,86,0,3,167,0.0256410256410256,178,806,7.42657179776188,50,0.982352941176471
"534","Villars","Wiflisburg (Avenches)-Bezirk","Villars-le-Grand","3. Avenches ( Wiflisburg )",6.9950223,46.9082943,"Vaud","45. Villars-le-Grand",324,"Vaud","13. Villars",424,"FALSE","FALSE",TRUE,TRUE,FALSE,23,298,8,0,163,167,15,285,44,2,88,0,"0",202,222,1,418,6,0.0222222222222222,72,436,-0.716642053799391,-100,0.0141509433962264
"535","Villars le Comte","Milden(Moudon)-Bezirk","Villars-le-Comte","11. Moudon (Milden)",6.7982451,46.7094724,"Vaud","219. Villars-le-Comte",226,"Vaud","31. Villars le Comte",239,"FALSE","FALSE",TRUE,TRUE,FALSE,1,223,2,0,132,94,2,215,10,0,49,0,"0",125,114,0,239,0,0,111,781,-1.98935690461872,-13,0
"536","Villars Mendraz","Milden(Moudon)-Bezirk","Villars-Mendraz","11. Moudon (Milden)",6.7292355,46.647426,"Vaud","229. Villars-Mendraz",139,"Vaud","32. Villars Mendraz",162,"FALSE","FALSE",TRUE,TRUE,FALSE,3,136,0,0,67,72,1,137,0,0,32,0,"0",93,69,0,162,0,0,94,789,-5.48026257456708,-23,0
