       392       885        29       424      6330     93400     77600     22100       984       967       961       970      5460     94290       250         0       321       250       237       312       385       508       108       405       390       466       145         4       365        79       401       373       227         9       277       193   1896000   1927100   1928200   1907400   1927100     44000     57000      5000      2000     61000     37000       207      1029      L100  210 Berne    Franches-Mnt   
       340       720        47       435     99230       620     79000     18300       726       880       898       848     99770       210        10        10       233       187       105       305       552       338       110        89       500       289       211        34        69       127       381       177       441        21        24       359   1895200   1925900   1923000   1911700   1915900     64000     36000     17000     39000     61000         0       142      1088      L110  211 Berne    Fraubrunnen    
       403       881        24       442     99810       160     76200     17000       929       963       952       950     99840       150        10         0       255       412       664       341       624       272       104        67       552       305       143        76       131        67       413       369       218       206       255       176   1876400   1922200   1922800   1902700   1921000     48000     52000      2000         0     85000     15000       206       983      L120  212 Berne    Frutigen       
       410       762        37       515     98710      1250     72700     13500       957       968       954       960     99440       270       160         0       245       296       521       283       452       279       269        38       429       284       287        39        56        92       370       297       332       103       104       243   1877100   1916800   1920200   1902600   1908200     51000     52000      6000         0     78000     22000       216      1014      L130  213 Berne    Interlaken     
       362       759        36       451     99610       190     74700     20800       806       860       914       862     99750       250         0         0       227       265       282       319       612       309        80        96       539       286       175        54        91       115       383       238       379        77        80       331   1876800   1913900   1915500   1911800   1920000     55000     45000      4000         0    100000         0       205      1029      L140  214 Berne    Konolfingen    
       341       910        30       353      7130     92430     88100     25500       981       988       980       984     98060      1700       220        20       238       365       557       326       371       435       194       137       329       462       210       162       208        82       240       517       243       355       355       177   1889100   1915600   1921000   1882000   1922300     49000     51000     23000     85000     15000         0       239       941      L150  215 Berne    Laufen         
       402       796        48       473     99260       590     75700     20500       782       866       883       847     99270       690        30         0       221       212       196       297       603       309        87        82       545       276       179        32        71       124       406       197       397        45        47       362   1879200   1911400   1918300   1904200   1913100     49000     51000      7000     25000     75000         0       225      1012      L160  216 Berne    Laupen         
       412       867        26       459     65190     33770     78500     17100       982       968       972       972     38090     61040       800        40       308       323       398       342       517       393        90       227       491       382       127        34       248        59       442       360       197        63       289       140   1894300   1921700   1922300   1903100   1914900     46000     54000      8000     13000     83000      4000       188       999      L170  217 Berne    Moutier        
       366       712        25       495     94460      5160     72900     13300       954       942       942       942     25730     72790      1100         0       165       192       103       258       517       373       110       148       459       342       199        10       122        94       294       254       452         5        49       315   1888700   1912500   1917300   1904700   1907300     70000     30000     11000     53000     47000         0       226       995      L180  218 Berne    Neuveville     
       424       831        34       489     96920      2930     77100     12500       926       940       963       943     93920      5820       250         0       247       239       313       294       548       358        93       145       514       333       154        37       149        76       432       270       298        49       159       222   1878700   1916200   1920000   1896800   1909100     54000     45000      6000     98000      2000         0       228      1035      L190  219 Berne    Nidau          
